-22.82977731424866	-12.987002119691127
-22.43057558339875	-14.98305370578258
-21.632172121698943	-18.575946560747212
-21.632172121698943	-22.568049732930135
-21.632172121698943	-27.358573539549653
-20.434566929149213	-32.14909734616916
-18.03935654404978	-36.14120051835208
-16.043347889800245	-39.33488305609842
-11.652128850451263	-40.93172432497159
-7.2609098111022945	-43.72619654549963
-4.067295964303042	-46.121458448809385
-0.47448038665388026	-47.319089400464264
3.118335190995282	-46.52066876602768
5.513545576094728	-44.92382749715451
9.10636115374389	-42.92777591106305
13.896781923942768	-42.12935527662646
16.691194039892125	-40.93172432497159
