-35.969451014292986	-33.549150433438626
-39.8807461470071	-31.723876974111235
-44.835053315111644	-34.59216383876857
-49.00710145667336	-39.28572416275332
-45.61731234165446	-46.06531129739795
-41.184511191245136	-51.01962497271518
-33.1011679169693	-51.80188502671263
-25.539330660388686	-50.498118270050206
-20.845776501131752	-48.93359816205529
-17.19523437726525	-46.32606464873044
-10.937162164922668	-45.022297892068
-6.504361014513336	-43.71853113540558
0.27521721552444944	-41.89325767607818
