7.2800876361430085	-9.721363632641697
3.7260006243510873	-8.42896172803242
-1.4435804837099084	-8.42896172803242
-6.290062772517075	-9.07516021528545
-10.490347422816626	-12.306152651550633
-14.367533253862376	-14.244748113309726
-18.567817904161913	-13.27545038243018
-23.09120137371528	-12.629251895177134
-26.3221895662534	-12.306152651550633
-30.199375397299136	-11.983053407924103
-35.04585768610632	-10.04445794616501
-39.569241155659675	-8.105862484405918
-42.154031709690166	-9.39825945891198
